x,y,z
1.32006,0.0367696,0.0113768
1.32018,0.0321612,0.0113768
1.32029,0.027553,0.0113768
1.32545,0.0183951,0.0114641
1.33054,0.00916666,0.0115513
1.33056,0.0045218,0.0115513
1.33057,-0.000122409,0.0115513
1.33056,-0.00476698,0.0115513
1.33054,-0.00941148,0.0115513
1.33044,-0.0187001,0.0115513
1.33537,-0.0234409,0.0116386
1.34527,-0.0283307,0.0118131
1.36016,-0.0334216,0.0120749
1.37003,-0.0384676,0.0122494
1.40486,-0.044416,0.0128603
1.37972,-0.0483993,0.012424
1.38953,-0.0536181,0.0125985
1.38434,-0.0582491,0.0125112
1.36915,-0.062372,0.0122494
1.35394,-0.0663894,0.0119877
1.34871,-0.0708439,0.0119004
1.34845,-0.0755513,0.0119004
1.34818,-0.0802579,0.0119004
1.34789,-0.0849634,0.0119004
1.34759,-0.0896679,0.0119004
1.34727,-0.0943713,0.0119004
1.34693,-0.0990736,0.0119004
1.34658,-0.103775,0.0119004
1.34621,-0.108474,0.0119004
1.35037,-0.118556,0.0119877
1.34997,-0.123031,0.0119877
1.34951,-0.127981,0.0119877
1.34406,-0.132422,0.0119004
1.34359,-0.137112,0.0119004
1.34757,-0.14704,0.0119877
1.32272,0.0826071,0.00362572
1.32529,0.00401607,0.00362572
1.33028,-0.0052807,0.00368237
1.33521,-0.014647,0.00373901
1.33515,-0.0193077,0.00373901
1.33508,-0.0239681,0.00373901
1.33488,-0.033288,0.00373901
1.32976,-0.0377808,0.00368237
1.32946,-0.0470632,0.00368237
1.32929,-0.0517036,0.00368237
1.3291,-0.0563434,0.00368237
1.33366,-0.065892,0.00373901
1.33343,-0.070547,0.00373901
1.33317,-0.0752011,0.00373901
1.3329,-0.0798543,0.00373901
1.3376,-0.0848474,0.00379565
1.3373,-0.089516,0.00379565
1.33698,-0.0941835,0.00379565
1.33664,-0.0988498,0.00379565
1.34588,-0.109035,0.00390894
1.35006,-0.118891,0.00396558
1.34964,-0.123603,0.00396558
1.3492,-0.128313,0.00396558
1.33833,-0.136665,0.0038523
1.35275,-0.142984,0.00402223
1.32138,0.154307,-0.00340669
1.33348,0.0708584,-0.00337763
1.33014,0.0241618,-0.00340669
1.33524,-0.0181387,-0.00337763
1.30334,0.240609,-0.00343575
1.30909,0.236973,-0.00340669
1.30007,0.230607,-0.00346481
1.31563,0.228709,-0.00337763
1.3115,0.223252,-0.00340669
1.31227,0.218672,-0.00340669
1.31302,0.21409,-0.00340669
1.31376,0.209506,-0.00340669
1.31449,0.204919,-0.00340669
1.31519,0.200329,-0.00340669
1.31094,0.194977,-0.00343575
1.31162,0.1904,-0.00343575
1.30732,0.185095,-0.00346481
1.31291,0.181238,-0.00343575
1.31354,0.176654,-0.00343575
1.31415,0.172068,-0.00343575
1.31474,0.16748,-0.00343575
1.31532,0.16289,-0.00343575
1.31588,0.158297,-0.00343575
1.32191,0.149694,-0.00340669
1.32243,0.145079,-0.00340669
1.32293,0.140461,-0.00340669
1.32343,0.135612,-0.00340669
1.3239,0.130991,-0.00340669
1.32932,0.126869,-0.00337763
1.32978,0.121996,-0.00337763
1.3302,0.117353,-0.00337763
1.3306,0.112708,-0.00337763
1.33098,0.108064,-0.00337763
1.33135,0.103417,-0.00337763
1.3317,0.0987687,-0.00337763
1.33204,0.0941199,-0.00337763
1.32738,0.0891107,-0.00340669
1.32768,0.0844764,-0.00340669
1.29805,0.215249,-0.010875
1.2988,0.210717,-0.010875
1.29953,0.206182,-0.010875
1.29599,0.196347,-0.010875
1.29104,0.158847,-0.010875
1.29656,0.15494,-0.010875
1.30205,0.150998,-0.010875
1.30257,0.146453,-0.010875
1.30805,0.142454,-0.010875
1.30854,0.137887,-0.010875
1.30901,0.133319,-0.010875
1.30947,0.128749,-0.010875
1.30493,0.123697,-0.010875
1.30535,0.119141,-0.010875
1.30576,0.114584,-0.010875
1.30615,0.110026,-0.010875
1.30653,0.105465,-0.010875
1.30689,0.100904,-0.010875
1.30723,0.0963416,-0.010875
1.30756,0.0917782,-0.010875
1.30788,0.087213,-0.010875
1.30817,0.0826474,-0.010875
1.30845,0.0780802,-0.010875
1.30872,0.0735126,-0.010875
1.30897,0.0689442,-0.010875
1.3092,0.0643743,-0.010875
1.31441,0.06004,-0.010875
1.31461,0.0554517,-0.010875
1.3148,0.0508628,-0.010875
1.31497,0.0462727,-0.010875
1.31512,0.041682,-0.010875
1.31526,0.0370914,-0.010875
1.31538,0.0325003,-0.010875
1.31548,0.0279082,-0.010875
1.31057,0.0232196,-0.010875
1.31065,0.0186443,-0.010875
1.31071,0.0138401,-0.010875
1.31577,0.00471547,-0.010875
1.31578,-0.000106791,-0.010875
1.32077,-0.00470898,-0.010875
1.32075,-0.0093193,-0.010875
1.32571,-0.013974,-0.010875
1.32565,-0.0186015,-0.010875
1.32558,-0.0232288,-0.010875
1.32549,-0.0278558,-0.010875
1.32538,-0.0324824,-0.010875
1.32026,-0.0369769,-0.010875
1.32222,0.189728,-0.0183724
1.34764,0.188539,-0.0185177
